link,nces_id,link_proc
https://www.facebook.com/sharer/sharer.php?u=http://www.talladegacountyal.org/,0103180,sharer/sharer.php
https://www.facebook.com/tallasseeschools/,0103240,tallasseeschools
https://m.facebook.com/tarrant-city-schools-183610331660964/,0103270,tarrant-city-schools-183610331660964
https://www.facebook.com/troycityschools/,0103330,troycityschools
https://www.facebook.com/trussvilleschools/,0100013,trussvilleschools
http://facebook.com/vhcschools,0103430,vhcschools
https://www.facebook.com/walker-county-schools-1886409664908444/,0103450,walker-county-schools-1886409664908444
https://www.facebook.com/winfieldcityschools,0103540,winfieldcityschools
https://www.facebook.com/winstonk12.org,0103580,winstonk12.org
https://www.facebook.com/alaskagatewayschooldistrict/,0200050,alaskagatewayschooldistrict
https://www.facebook.com/anchorageschooldistrict,0200180,anchorageschooldistrict
https://www.facebook.com/events/838009033352320/,0200180,events/838009033352320
https://www.facebook.com/annetteislandschooldistrict,0200525,annetteislandschooldistrict
https://www.facebook.com/athomeart,0200020,athomeart
https://www.facebook.com/bssdschools/,0200020,bssdschools
https://www.facebook.com/bssdsbt,0200020,bssdsbt
https://www.facebook.com/crsdak/,0200070,crsdak
https://www.facebook.com/dillingham-elementary-school-1587958894765592/,0200120,dillingham-elementary-school-1587958894765592
https://www.facebook.com/dillingham-middlehigh-school-2193394927539871/,0200120,dillingham-middlehigh-school-2193394927539871
https://www.facebook.com/dlgsd/,0200120,dlgsd
https://www.facebook.com/hainesglacierbears/,0200270,hainesglacierbears
https://www.facebook.com/pages/juneau-school-district/102871879799494,0200210,pages/juneau-school-district/102871879799494
https://www.facebook.com/pages/kake-city-schools/1499544200298187?rf=147537931959745,0200360,pages/kake-city-schools/1499544200298187
http://www.facebook.com/kpbsd,0200390,kpbsd
http://www.facebook.com/ketchikangatewayboroughschooldistrict,0200150,ketchikangatewayboroughschooldistrict
https://www.facebook.com/kibsd,0200480,kibsd
https://www.facebook.com/the-lake-and-peninsula-school-district-195803547129115/,0200485,the-lake-and-peninsula-school-district-195803547129115
https://www.facebook.com/lowerkuskokwimschooldistrict/,0200001,lowerkuskokwimschooldistrict
https://www.facebook.com/akmatsuk12,0200510,akmatsuk12
https://www.facebook.com/northslopeboroughschooldistrict/,0200610,northslopeboroughschooldistrict
https://www.facebook.com/northwest-arctic-borough-school-district-147508372277723/?ref=hl,0200625,northwest-arctic-borough-school-district-147508372277723
https://www.facebook.com/sitkaschooldistrict/,0200240,sitkaschooldistrict
https://www.facebook.com/skagway-school-district-131661060336991/,0200690,skagway-school-district-131661060336991
https://www.facebook.com/valdezcityschools/,0200780,valdezcityschools
https://www.facebook.com/wrangellpublicschools/,0200810,wrangellpublicschools
https://www.facebook.com/yukonkoyukukschooldistrict/,0200862,yukonkoyukukschooldistrict
https://www.facebook.com/vocationalhighschoolaobi,0400414,vocationalhighschoolaobi
https://www.facebook.com/mymarketingdesigns,0400414,mymarketingdesigns
https://www.facebook.com/amscharterschools,0400368,amscharterschools
https://www.facebook.com/aotschools/,0400202,aotschools
https://www.facebook.com/acphighschool/,0400276,acphighschool
https://www.facebook.com/718075948323147,0400122,718075948323147
http://www.facebook.com/afuhsd,0400450,afuhsd
https://www.facebook.com/aguilaschool/?fref=ts,0400480,aguilaschool
https://www.facebook.com/ajo-unified-school-district-15-1449988315216915/,0400520,ajo-unified-school-district-15-1449988315216915
https://www.facebook.com/altarvalleyschooldistrict,0404770,altarvalleyschooldistrict
https://www.facebook.com/pg/alagnhs/,0400112,pg/alagnhs
https://www.facebook.com/alaschools,0400112,alaschools
https://www.facebook.com/amphischools/,0400680,amphischools
https://www.facebook.com/anthemprep/,0400819,anthemprep
https://www.facebook.com/ajusd43/,0400790,ajusd43
https://www.facebook.com/pages/archway-classical-academy-chandler/242990562514641,0400834,pages/archway-classical-academy-chandler/242990562514641
https://www.facebook.com/archway.cicero,0400886,archway.cicero
https://www.facebook.com/archwayglendale,0400866,archwayglendale
https://www.facebook.com/archway.northphoenix,0400873,archway.northphoenix
https://www.facebook.com/greatheartsacademies,0400841,greatheartsacademies
https://www.facebook.com/archwaytriviumeast,0400930,archwaytriviumeast
https://www.facebook.com/archwaytrivium,0400832,archwaytrivium
https://www.facebook.com/archwayveritas/,0400833,archwayveritas
https://www.facebook.com/arizonaautismcharterschools/,0400913,arizonaautismcharterschools
https://www.facebook.com/acyraz,0400057,acyraz
https://www.facebook.com/lapalomaacademy,0400361,lapalomaacademy
https://www.facebook.com/arizonaconnectionsacademy,0400427,arizonaconnectionsacademy
https://www.facebook.com/caurusacademy01/,0400415,caurusacademy01
https://www.facebook.com/azschoolforarts/,0400056,azschoolforarts
https://www.facebook.com/afspartans31/,0400910,afspartans31
https://www.facebook.com/asupreparatoryacademy,0400947,asupreparatoryacademy
